Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
connection point,No,0,NA,0,NA,"I don't believe you will donate to them. They are a local charity, for one thing.",No,Agree,4,Agree,4,2021,5,loyal,100,100,Male,35 - 44,"$20,000 - $29,999",4 year degree,Control
Revolution Church,Yes,1,0.5,0.5,I want to help,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,1000,1000,Female,45 - 54,"$40,000 - $49,999",Some college,Treatment
street dogs coalition,No,0,NA,0,NA,I already do this,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Female,35 - 44,"$30,000 - $39,999",4 year degree,Treatment
ASPCA,No,0,NA,0,NA,I'm poor and could use the payment money,No,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,50,50,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
FOKAL in Haiti,Yes,1,0.3,0.3,I think it is one of the few organizations that are doing viable and tangible things in Haiti.,NA,NA,Agree,4,Disagree,2,2021,3,loyal,25,25,Female,35 - 44,"$20,000 - $29,999",Doctorate,Treatment
ASPCA,Yes,1,0.5,0.5,"So many animals are dying from abuse, homelessness, cruelty, hunger, freezing to death just to name a few reasons. The reasons are countless. We need to help Gods creatures. So much crulty in ourt world.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,19 .00 a month plus extra if they needed,228,Male,45 - 54,"$30,000 - $39,999",High school graduate,Treatment
ASPCA,No,0,NA,0,NA,"I prefer to donate on my own because I don't trust others to donate on my behalf, sorry.",No,Agree,4,Strongly disagree,1,2021,5,loyal,300,300,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
Red Cross,Yes,1,0.1,0.1,i support them but I need all the money I can get,NA,NA,Agree,4,Strongly disagree,1,2020,3,nonloyal,100,100,Female,55 - 64,"$20,000 - $29,999",4 year degree,Control
Pine Street Inn Shattuck Shelter,Yes,1,0.5,0.5,"It's cold outside. Maybe even a small donation will help give a homeless man a bed, a blanket or a hat",NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,45 - 54,"$30,000 - $39,999",4 year degree,Treatment
Manna on the main,No,0,NA,0,NA,I like to give on my time when I know i have the extra money,No,Strongly agree,5,Disagree,2,2020,2,nonloyal,20,20,Female,35 - 44,"$10,000 - $19,999",High school graduate,Control
ASPCA,Yes,1,0.1,0.1,I would like to give a little but mostly I would to choose to do it on my own.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,200,200,Female,35 - 44,"$50,000 - $59,999",2 year degree,Control
Sierra Club,No,0,NA,0,NA,I would rather do it without a middleman.,No,Neither agree nor disagree,3,Strongly disagree,1,2018,1,nonloyal,100,100,Male,45 - 54,"$80,000 - $89,999",4 year degree,Control
wwf,No,0,NA,0,NA,I prefer to donate directly,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$20,000 - $29,999",Professional degree,Control
A raptor center,Yes,1,0.1,0.1,because it helps them,NA,NA,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,80,80,Female,65 - 74,"$10,000 - $19,999",4 year degree,Control
Autism Speaks,Yes,1,0.5,0.5,I felt the letter was nicely written and I continue to believe in their work.,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Male,55 - 64,"$40,000 - $49,999",4 year degree,Control
American Red Cross,Yes,1,0.5,0.5,"Because the American Red Cross does great work. I'm poor, but I try to give what I can.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Female,65 - 74,"$10,000 - $19,999",High school graduate,Treatment
Paws,No,0,NA,0,NA,I've donated recently so I feel okay waiting a while to donate again.,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,20,20,Male,35 - 44,"Less than $10,000",High school graduate,Treatment
Pet Haven,No,0,NA,0,NA,I would prefer to give a larger amount for a specific fundraiser that they might have.,No,Agree,4,Disagree,2,2020,2,nonloyal,10,10,Female,45 - 54,"$40,000 - $49,999",Professional degree,Treatment
St. Jude Children's Research Hospital,Yes,1,0.3,0.3,I like what they do. I have a lot of sympathy for children that are ill.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,50,50,Male,65 - 74,"$10,000 - $19,999",Some college,Control
Red Cross,Yes,1,0.1,0.1,they do good work,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,25,25,Male,45 - 54,"$20,000 - $29,999",Some college,Treatment
Motts Children Hospital,Yes,1,0.5,0.5,My nephew was born with a heart defect and he stayed there throughout his surgery. They were awesome!,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,100,100,Female,35 - 44,"$100,000 - $149,999",Professional degree,Treatment
american red cross,No,0,NA,0,NA,I like to donate disaster specifically.,No,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,55 - 64,"$30,000 - $39,999",2 year degree,Treatment
St Jude Children's Hospital,Yes,1,0.1,0.1,I like to help out charities that I trust and know they provide good things to people.,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,100,100,Male,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Make A Wish,No,0,NA,0,NA,I will give on my own,No,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Female,25 - 34,"$100,000 - $149,999",Professional degree,Control
Pug Partners of Nebraska,Yes,1,0.5,0.5,Because I did,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,35 - 44,"$70,000 - $79,999",4 year degree,Treatment
The Nature Conservancy,No,0,NA,0,NA,I don't want to give at this time.,No,Agree,4,Strongly disagree,1,2021,3,loyal,20,20,Male,35 - 44,"$10,000 - $19,999",2 year degree,Control
Humane Society,No,0,NA,0,NA,I would rather maximize my pay,No,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,100,100,Male,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Sierra Club,No,0,NA,0,NA,I already give a substantial amount to them.,No,Strongly agree,5,Strongly disagree,1,2021,4,loyal,300,300,Male,35 - 44,"$40,000 - $49,999",4 year degree,Treatment
The Nature Conservancy,No,0,NA,0,NA,I don't want to reduce my pay,No,Agree,4,Disagree,2,2021,3,loyal,10,10,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Operation Homefront,Yes,1,0.5,0.5,"It's hard times for everyone right now and if I can help someone else out, even just a little, then I would love to do so",NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,35 - 44,"$100,000 - $149,999",4 year degree,Treatment
Salvation Army,No,0,NA,0,NA,Many places use covid for money,No,Neither agree nor disagree,3,Agree,4,2021,5,loyal,10000,10000,Male,25 - 34,"$100,000 - $149,999",4 year degree,Control
Quit Mormon,Yes,1,0.1,0.1,I really support their mission of helping people leave the Mormon church through legal and notary services. They helped me and I want them to be able to help others too.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,15,15,Female,18 - 24,"$70,000 - $79,999",4 year degree,Treatment
Gateway Baptist Church,Yes,1,0.1,0.1,It's pleasing to the Lord.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,"I don't keep track, but maybe 500",500,Female,55 - 64,"Less than $10,000",4 year degree,Treatment
St. Jude's,No,0,NA,0,NA,I already donate annually to St. Jude's. I know where my donations go to.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Male,45 - 54,"$60,000 - $69,999",4 year degree,Treatment
Salvation Army,No,0,NA,0,NA,I give personally,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,55 - 64,"$50,000 - $59,999",Some college,Treatment
local animal shelter,No,0,NA,0,NA,I wanted the money for myself,No,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,50,50,Female,35 - 44,"$50,000 - $59,999",4 year degree,Control
St. Jude,No,0,NA,0,NA,Wasn't in a charitable mood.,No,Agree,4,Strongly disagree,1,2020,2,nonloyal,25,25,Male,25 - 34,"$40,000 - $49,999",4 year degree,Control
EFF,No,0,NA,0,NA,I have set times of the year I donate already,No,Agree,4,Strongly disagree,1,2021,3,loyal,50,50,Female,25 - 34,"$40,000 - $49,999",4 year degree,Treatment
Big Cat Sanctuary,Yes,1,0.3,0.3,They need it and are a good cause.,NA,NA,Agree,4,Disagree,2,2019,1,nonloyal,50,50,Male,45 - 54,"$40,000 - $49,999",Some college,Control
Millers children hospital,Yes,1,0.2,0.2,Because i know it will help support the services they provide,NA,NA,Agree,4,Strongly disagree,1,2021,4,loyal,5,5,Female,25 - 34,"$10,000 - $19,999",Some college,Control
aspca,Yes,1,0.5,0.5,they are nice and have a great cause,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,20,20,Male,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
St. Jude's,No,0,NA,0,NA,I'd rather it do it myself and review other charities,No,Agree,4,Disagree,2,2019,2,nonloyal,25,25,Male,25 - 34,"$70,000 - $79,999",4 year degree,Treatment
Feed the Children,Yes,1,0.3,0.3,I do like this charity and I don't see why not.,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,55 - 64,"$20,000 - $29,999",High school graduate,Treatment
The Josh Willinghamd Foundation,No,0,NA,0,NA,I do it on my own time,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,25 - 34,"$80,000 - $89,999",High school graduate,Control
World Wildlife Fund,No,0,NA,0,NA,I don't have a lot of money at the moment.,No,Agree,4,Disagree,2,2021,2,nonloyal,25,25,Male,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
St Jude's Children Research,No,0,NA,0,NA,I just gave to them recently.,No,Agree,4,Disagree,2,2021,5,loyal,25,25,Female,35 - 44,"$50,000 - $59,999",High school graduate,Treatment
ASPCA,No,0,NA,0,NA,Since I already give at specific times during the year I do not choose to give this early in the year before I have more earnings clarity and accumulated savings.,No,Strongly agree,5,Strongly disagree,1,2021,3,loyal,500,500,Male,25 - 34,"$70,000 - $79,999",Professional degree,Control
ASPCA,Yes,1,0.5,0.5,I guess I just like helping others.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Male,25 - 34,"$20,000 - $29,999",High school graduate,Treatment
red cross,Yes,1,0.1,0.1,They do important work to help people that are in need after disasters have struck their area.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,45 - 54,"$50,000 - $59,999",Professional degree,Control
Smiles for Life,No,0,NA,0,NA,"I give to them every year, as well as have gotten the people around me to donate to this particular organization.",No,Agree,4,Strongly disagree,1,2020,2,nonloyal,400,400,Female,25 - 34,"$60,000 - $69,999",2 year degree,Control
salvation army,No,0,NA,0,NA,I just gave,No,Agree,4,Disagree,2,2021,5,loyal,20,20,Female,35 - 44,"$10,000 - $19,999",Some college,Control
The Waterfront Rescue Mission,No,0,NA,0,NA,"I chose not to give because I given annually, every November. It's a bit of a ritual with me, and I give a very specific amount. So, I don't feel the need right now to donate outside of my yearly pattern.",No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,75 - 84,"$40,000 - $49,999",Some college,Control
BARCS,No,0,NA,0,NA,I donate items to this charity,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,200,200,Female,55 - 64,"$60,000 - $69,999",2 year degree,Treatment
habitat for humanity,No,0,NA,0,NA,I have already donated elsewhere,Yes,Strongly agree,5,Strongly disagree,1,2020,3,nonloyal,50,50,Female,45 - 54,"$30,000 - $39,999",Professional degree,Treatment
Para Los Ninos,No,0,NA,0,NA,I give a budgeted amount as part of several charity drives annually.,Yes,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,55 - 64,"More than $150,000",Some college,Treatment
Team Western Kentucky Tornado Relief Fund,Yes,1,0.5,0.5,This charity still needs my help.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,10,10,Female,65 - 74,"$10,000 - $19,999",High school graduate,Control
Harmony Fund,Yes,1,0.5,0.5,Because I haven't given anything in months.,NA,NA,Agree,4,Disagree,2,2021,2,nonloyal,25,25,Male,35 - 44,"$30,000 - $39,999",High school graduate,Control
Chamber Music International,No,0,NA,0,NA,I wait for giving day where my donations are matched.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,300,300,Male,35 - 44,"$100,000 - $149,999",4 year degree,Treatment
NORTH SHORE ANIMAL LEAGUE,Yes,1,0.3,0.3,I BELIEVE IN THE WORK THEY DO.,NA,NA,Agree,4,Strongly disagree,1,2021,3,loyal,25,25,Female,45 - 54,"$10,000 - $19,999",Some college,Control
Freedom from religion foundation,No,0,NA,0,NA,"Assuming I'm supposed to be basing it off of that letter, it didn't move me.",No,Agree,4,Strongly disagree,1,2019,2,nonloyal,25,25,Female,25 - 34,"$10,000 - $19,999",Some college,Control
Black Cat Market,Yes,1,0.5,0.5,because I think they deserve donations to help the cats,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,10,10,Female,55 - 64,"$40,000 - $49,999",High school graduate,Treatment
national lawyer's guild,No,0,NA,0,NA,I don't want to split the tiny amount i'm getting from doing this survey,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Male,35 - 44,"$30,000 - $39,999",Some college,Treatment
Metavivor,Yes,1,0.5,0.5,"They support turning my terminal disease into something chronic but no longer terminal, and there's so few charities out there specifically researching metastatic breast cancer that they need all the help they can get.",NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,35 - 44,"$50,000 - $59,999",4 year degree,Treatment
United Way,Yes,1,0.2,0.2,Its a solid org,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,500,500,Male,35 - 44,"$90,000 - $99,999",4 year degree,Treatment
Planned Parenthood,No,0,NA,0,NA,I am using Prolific right now to help pay for groceries and my dad's medical expenses.,No,Agree,4,Disagree,2,2020,1,nonloyal,25,25,Female,25 - 34,"$90,000 - $99,999",4 year degree,Treatment
Salvation Army,Yes,1,0.5,0.5,Because its a helpful charity and ever little bit helps,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"Less than $10,000",Some college,Control
ACLU,No,0,NA,0,NA,I can make a donation on my own.,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,20,20,Female,35 - 44,"$10,000 - $19,999",Some college,Treatment
OSD,Yes,1,0.5,0.5,Because it's a good cause,NA,NA,Strongly agree,5,Strongly disagree,1,2020,2,nonloyal,200,200,Male,45 - 54,"$60,000 - $69,999",4 year degree,Control
North Texas Food Bank,No,0,NA,0,NA,I am currently in no position to donate.,No,Strongly agree,5,Strongly disagree,1,2020,1,nonloyal,900,900,Male,45 - 54,"$60,000 - $69,999",4 year degree,Control
St Jude,Yes,1,0.5,0.5,I love what St Jude does for kids and their families.,NA,NA,Agree,4,Disagree,2,2021,5,loyal,250,250,Male,35 - 44,"$80,000 - $89,999",4 year degree,Treatment
local animal rescues,No,0,NA,0,NA,I prefer to give on my own to the local person involved and not trust 3rd parties,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,250,250,Female,45 - 54,"$30,000 - $39,999",High school graduate,Treatment
ASPCA,Yes,1,0.1,0.1,Because I think it helps. Even if it's only a little bit.,NA,NA,Strongly agree,5,Strongly disagree,1,2018,1,nonloyal,25,25,Female,25 - 34,"Less than $10,000",Some college,Control
Right To Play,Yes,1,0.2,0.2,I want to help the charity's cause and I believe that they put the money to good use.,NA,NA,Agree,4,Strongly disagree,1,2021,1,nonloyal,5,5,Male,25 - 34,"Less than $10,000",4 year degree,Treatment
Joseph Prince Ministries,No,0,NA,0,NA,I give on a regular schedule. I don't choose to give at this moment.,No,Agree,4,Disagree,2,2021,5,loyal,1000,1000,Female,55 - 64,"Less than $10,000",Some college,Control
St Judes,Yes,1,0.5,0.5,Because I trust St. Judes and believe they do the right thing with the money,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,25,25,Female,45 - 54,"$30,000 - $39,999",High school graduate,Control
American Cancer Society,Yes,1,0.5,0.5,It is a worthwhile cause.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,25,25,Female,35 - 44,"$90,000 - $99,999",4 year degree,Treatment
Wounded Warrior Project,No,0,NA,0,NA,It would be to small amount.,No,Agree,4,Strongly disagree,1,2021,5,loyal,100,100,Male,55 - 64,"$40,000 - $49,999",Some college,Treatment
American Red Cross,No,0,NA,0,NA,No need as I have already donated enough money .,No,Agree,4,Disagree,2,2019,2,nonloyal,500,500,Male,25 - 34,"$70,000 - $79,999",4 year degree,Control
United Way,No,0,NA,0,NA,I prefer to give separately than from this study.,No,Strongly agree,5,Strongly disagree,1,2019,3,nonloyal,500,500,Female,45 - 54,"$100,000 - $149,999",2 year degree,Treatment
Linc Worldwide,Yes,1,0.5,0.5,I thought they needed it and I like to help them.,NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,50,50,Male,25 - 34,"$60,000 - $69,999",Doctorate,Treatment
Mercy for Animals,No,0,NA,0,NA,Because I am a monthly donor already and a student with no real job who can barely pay her rent and has too many animals both inside and outside that she feeds twice daily.,No,Agree,4,Strongly disagree,1,2021,4,loyal,120,120,Female,55 - 64,"$10,000 - $19,999",2 year degree,Treatment
Sierra Club,Yes,1,0.1,0.1,Because the Sierra Club makes a true contribution to the well being of all of us.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,120,120,Female,75 - 84,"$20,000 - $29,999",4 year degree,Treatment
United Way,Yes,1,0.1,0.1,I am not really sure. I feel appealed to.,NA,NA,Strongly agree,5,Disagree,2,2020,2,nonloyal,75,75,Female,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
Greater Chicago Food Depository,No,0,NA,0,NA,"I understand the financial need, but I rather donate when I am inspired. The letter makes me feel pressured.",No,Agree,4,Disagree,2,2021,3,loyal,100,100,Female,55 - 64,"$90,000 - $99,999",Professional degree,Treatment
Move to Higher Ground,Yes,1,0.5,0.5,"I want to continue supporting the Move to Higher Ground movement. Prior to COVID, they experienced significant need, and now during the pandemic support one of the populations most significantly impacted. They have faced substantial harm over the years, and it is good to know that even in my own financial struggles, I can help support them.",NA,NA,Agree,4,Strongly disagree,1,2021,2,nonloyal,20,20,Female,18 - 24,"$20,000 - $29,999",4 year degree,Control
Red Cross,No,0,NA,0,NA,I gave much more already.,No,Agree,4,Disagree,2,2021,3,loyal,50,50,Male,75 - 84,"$40,000 - $49,999",4 year degree,Control
The Salvation Army,No,0,NA,0,NA,Because my payment is already small. I'll give to the SA when I am able.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,55 - 64,"Less than $10,000",2 year degree,Treatment
Salvation army,No,0,NA,0,NA,They assumed I would do so,No,Agree,4,Neither agree nor disagree,3,2019,1,nonloyal,100,100,Female,45 - 54,"Less than $10,000",High school graduate,Treatment
Red Cross,Yes,1,0.5,0.5,Iam concerned about finaces until it s known how the virus will effect future working condition. Any gift even a samll one can be helpful to charties.,NA,NA,Agree,4,Strongly disagree,1,2020,3,nonloyal,50,50,Male,45 - 54,"$40,000 - $49,999",4 year degree,Treatment
